date,rf,mktrf,smb,hml,mom
31/01/1927,0.0025,-0.0006,-0.0037,0.0454,0.0036
28/02/1927,0.0026,0.0418,0.0004,0.0294,-0.0214
31/03/1927,0.003,0.0013,-0.0165,-0.0261,0.0361
30/04/1927,0.0025,0.0046,0.003,0.0081,0.043
31/05/1927,0.003,0.0544,0.0153,0.0473,0.03
30/06/1927,0.0026,-0.0234,0.0059,-0.0173,0.006
30/07/1927,0.003,0.0726,-0.0325,-0.0114,0.0431
31/08/1927,0.0028,0.0197,-0.0069,-0.0374,0.0136
30/09/1927,0.0021,0.0476,-0.0363,-0.0063,0.0198
31/10/1927,0.0025,-0.0431,0.0212,-0.0433,-0.0087
30/11/1927,0.0021,0.0658,0.0272,-0.0027,-0.0051
31/12/1927,0.0022,0.0209,0.0097,-0.0113,0.0321
31/01/1928,0.0025,-0.0068,0.0426,-0.0075,-0.0052
29/02/1928,0.0033,-0.017,-0.0206,-0.0065,-0.0109
31/03/1928,0.0029,0.0881,-0.0026,-0.0122,0.047
30/04/1928,0.0022,0.0423,0.0398,0.0344,-0.0441
31/05/1928,0.0032,0.0152,0.0285,-0.0327,0.0302
30/06/1928,0.0031,-0.0485,-0.0352,-0.0003,0.0204
31/07/1928,0.0032,0.0062,-0.0132,-0.005,0.0265
31/08/1928,0.0032,0.0668,-0.0206,-0.0215,0.0354
29/09/1928,0.0027,0.0288,0.0241,0.0086,0.0345
31/10/1928,0.0041,0.0133,0.0222,-0.0216,0.051
30/11/1928,0.0038,0.1181,-0.0178,0.027,0.0209
31/12/1928,0.0006,0.0036,-0.0086,-0.0065,0.0154
31/01/1929,0.0034,0.0466,-0.0356,-0.0124,0.0245
28/02/1929,0.0036,-0.0034,-0.0038,0.0166,0.0305
28/03/1929,0.0034,-0.0089,-0.0471,0.0158,-0.0064
30/04/1929,0.0036,0.0143,-0.0097,0.0059,0.0191
31/05/1929,0.0044,-0.0639,-0.0537,-0.0142,-0.0204
29/06/1929,0.0052,0.097,-0.0217,-0.0279,0.086
31/07/1929,0.0033,0.0446,-0.0388,0.0271,0.0296
30/08/1929,0.004,0.0818,-0.0959,0.0013,0.047
30/09/1929,0.0035,-0.0547,0.0119,-0.0065,0.0297
31/10/1929,0.0046,-0.2012,-0.0401,0.0778,0.041
27/11/1929,0.0037,-0.1274,-0.0172,0.0505,-0.0239
31/12/1929,0.0037,0.0133,-0.045,-0.0054,0.0519
31/01/1930,0.0014,0.0561,0.0355,-0.0096,-0.0516
28/02/1930,0.003,0.025,0.0019,0.002,0.0062
31/03/1930,0.0035,0.071,0.0341,0.0033,-0.0442
30/04/1930,0.0021,-0.0206,-0.0035,-0.0035,0.0398
29/05/1930,0.0026,-0.0166,-0.0201,-0.0073,0.0005
30/06/1930,0.0027,-0.1627,-0.0338,0.0233,0.0664
31/07/1930,0.002,0.0412,-0.0028,-0.0175,-0.0219
29/08/1930,0.0009,0.003,-0.021,-0.0061,0.0395
30/09/1930,0.0022,-0.1275,-0.0221,-0.0496,0.1148
